"filename", "language", "YAML", "HTML", "JSON", "Swift", "XML", "Markdown", "C++", "Properties", "Groovy", "Dart", "comment", "blank", "total"
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/diet_remote_datasource.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/models/aliment_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 5, 60
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/models/cache_request_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 6, 42
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/models/diet_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 5, 33
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/models/exercise_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 5, 35
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/models/meal_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 5, 36
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/models/muscle_group_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 5, 33
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/models/muscle_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 5, 34
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/models/program_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 5, 37
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/models/recipe_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 5, 33
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/models/training_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 5, 33
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/repositories/cached_request_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 6, 57
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/repositories/diet_repository_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 5, 8, 62
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/aliment.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 1, 5, 43
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/cached_request.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 5, 34
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/diet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 1, 4, 22
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/exercise.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 1, 5, 26
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/meal.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 1, 4, 24
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/muscle.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 1, 5, 26
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/muscle_group.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 1, 5, 24
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/program.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 1, 4, 35
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/recipe.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 1, 4, 22
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/training.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 1, 4, 22
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/repositories/aliment_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 12
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/repositories/cached_request_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/repositories/diet_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/repositories/exercise_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/repositories/meal_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/repositories/muscle_group_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/repositories/muscle_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 12
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/repositories/program_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/repositories/recipe_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/repositories/training_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/usecases/cached_request_usecases.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 10, 43
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/usecases/diet_usecases.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 16, 62
"/home/kilian/gymprime-project/gymprime/lib/main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/kilian/gymprime-project/gymprime/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 5, 12
"/home/kilian/gymprime-project/gymprime/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"/home/kilian/gymprime-project/gymprime/linux/main.cc", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/home/kilian/gymprime-project/gymprime/linux/my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 11, 20, 105
"/home/kilian/gymprime-project/gymprime/linux/my_application.h", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 5, 19
"/home/kilian/gymprime-project/gymprime/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 4, 17
"/home/kilian/gymprime-project/gymprime/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/kilian/gymprime-project/gymprime/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"/home/kilian/gymprime-project/gymprime/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 1, 344
"/home/kilian/gymprime-project/gymprime/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/home/kilian/gymprime-project/gymprime/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"/home/kilian/gymprime-project/gymprime/pubspec.yaml", "YAML", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 15, 105
"/home/kilian/gymprime-project/gymprime/web/index.html", "HTML", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 60
"/home/kilian/gymprime-project/gymprime/web/manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/home/kilian/gymprime-project/gymprime/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 5, 12
