"filename", "language", "Dart", "comment", "blank", "total"
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/aliment_local_datasource.dart", "Dart", 7, 0, 0, 7
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/aliment_local_db.dart", "Dart", -1, 0, -5, -6
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/cached_request_local_db.dart", "Dart", -5, 0, -5, -10
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/diet_local_db.dart", "Dart", -1, 0, -5, -6
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/exercise_local_db.dart", "Dart", -1, 0, -5, -6
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/meal_local_db.dart", "Dart", -1, 0, -5, -6
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/muscle_group_local_db.dart", "Dart", -1, 0, -5, -6
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/muscle_local_db.dart", "Dart", -1, 0, -5, -6
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/program_local_db.dart", "Dart", -1, 0, -5, -6
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/recipe_local_db.dart", "Dart", -1, 0, -6, -7
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/training_local_db.dart", "Dart", -1, 0, -5, -6
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/aliment_remote_datasource.dart", "Dart", 153, 0, 12, 165
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/api/aliment_remote_api.dart", "Dart", -103, 0, -12, -115
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/api/diet_remote_api.dart", "Dart", -120, 0, -13, -133
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/api/exercise_remote_api.dart", "Dart", -106, 0, -13, -119
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/api/meal_remote_api.dart", "Dart", -120, -1, -14, -135
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/diet_remote_datasource.dart", "Dart", 153, 0, 12, 165
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/exercise_remote_datasource.dart", "Dart", 128, 0, 11, 139
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/meal_remote_datasource.dart", "Dart", 153, 0, 12, 165
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/muscle_group_remote_datasource.dart", "Dart", 132, 0, 11, 143
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/muscle_remote_datasource.dart", "Dart", 128, 0, 11, 139
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/program_remote_datasource.dart", "Dart", 153, 0, 12, 165
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/recipe_remote_datasource.dart", "Dart", 153, 0, 12, 165
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/training_remote_datasource.dart", "Dart", 153, 0, 12, 165
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/repositories/diet_repository_impl.dart", "Dart", -3, -1, 0, -4
"Total", "-", 847, -2, 2, 847
