Date : 2024-02-22 00:40:11
Directory : /home/kilian/gymprime-project/gymprime
Total : 120 files,  4348 codes, 298 comments, 786 blanks, all 5432 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         74 |      2,838 |         21 |        509 |      3,368 |
| C++        |         16 |        531 |        121 |        182 |        834 |
| XML        |         10 |        463 |         48 |         12 |        523 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Groovy     |          3 |        114 |          3 |         23 |        140 |
| Swift      |          6 |         58 |          7 |         20 |         85 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| YAML       |          2 |         37 |         82 |         19 |        138 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        120 |      4,348 |        298 |        786 |      5,432 |
| . (Files)                                                                                                               |          3 |         47 |         82 |         26 |        155 |
| android                                                                                                                 |         12 |        181 |         49 |         34 |        264 |
| android (Files)                                                                                                         |          3 |         53 |          0 |         12 |         65 |
| android/app                                                                                                             |          8 |        123 |         49 |         21 |        193 |
| android/app (Files)                                                                                                     |          1 |         64 |          3 |         12 |         79 |
| android/app/src                                                                                                         |          7 |         59 |         46 |          9 |        114 |
| android/app/src/debug                                                                                                   |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                    |          5 |         53 |         38 |          7 |         98 |
| android/app/src/main (Files)                                                                                            |          1 |         27 |          6 |          1 |         34 |
| android/app/src/main/res                                                                                                |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                       |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                   |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                         |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                   |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                 |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                          |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                  |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                     |          8 |        229 |          4 |         13 |        246 |
| ios/Runner                                                                                                              |          7 |        222 |          2 |          9 |        233 |
| ios/Runner (Files)                                                                                                      |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                              |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                           |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                         |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                   |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                                         |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                     |         74 |      2,838 |         21 |        509 |      3,368 |
| lib (Files)                                                                                                             |          2 |         13 |          3 |          7 |         23 |
| lib/core                                                                                                                |         11 |        100 |          2 |         30 |        132 |
| lib/core/constants                                                                                                      |          1 |          2 |          1 |          1 |          4 |
| lib/core/errors                                                                                                         |          1 |          8 |          0 |          4 |         12 |
| lib/core/extensions                                                                                                     |          1 |          6 |          0 |          2 |          8 |
| lib/core/platform                                                                                                       |          1 |          3 |          0 |          1 |          4 |
| lib/core/resources                                                                                                      |          6 |         77 |          1 |         20 |         98 |
| lib/core/usecases                                                                                                       |          1 |          4 |          0 |          2 |          6 |
| lib/features                                                                                                            |         61 |      2,725 |         16 |        472 |      3,213 |
| lib/features/app_starting                                                                                               |          2 |         12 |          0 |          5 |         17 |
| lib/features/app_starting/domain                                                                                        |          2 |         12 |          0 |          5 |         17 |
| lib/features/app_starting/domain/repository                                                                             |          1 |          5 |          0 |          2 |          7 |
| lib/features/app_starting/domain/usecases                                                                               |          1 |          7 |          0 |          3 |         10 |
| lib/features/shared                                                                                                     |         59 |      2,713 |         16 |        467 |      3,196 |
| lib/features/shared/data                                                                                                |         37 |      2,187 |          6 |        370 |      2,563 |
| lib/features/shared/data/datasources                                                                                    |         25 |      1,689 |          1 |        296 |      1,986 |
| lib/features/shared/data/datasources/local                                                                              |         21 |      1,240 |          0 |        244 |      1,484 |
| lib/features/shared/data/datasources/local (Files)                                                                      |         10 |        366 |          0 |         84 |        450 |
| lib/features/shared/data/datasources/local/database                                                                     |         11 |        874 |          0 |        160 |      1,034 |
| lib/features/shared/data/datasources/remote                                                                             |          4 |        449 |          1 |         52 |        502 |
| lib/features/shared/data/datasources/remote/api                                                                         |          4 |        449 |          1 |         52 |        502 |
| lib/features/shared/data/models                                                                                         |         10 |        400 |          0 |         60 |        460 |
| lib/features/shared/data/repositories                                                                                   |          2 |         98 |          5 |         14 |        117 |
| lib/features/shared/domain                                                                                              |         22 |        526 |         10 |         97 |        633 |
| lib/features/shared/domain/entities                                                                                     |         10 |        340 |         10 |         51 |        401 |
| lib/features/shared/domain/repositories                                                                                 |         10 |        108 |          0 |         20 |        128 |
| lib/features/shared/domain/usecases                                                                                     |          2 |         78 |          0 |         26 |        104 |
| linux                                                                                                                   |          5 |         94 |         27 |         38 |        159 |
| linux (Files)                                                                                                           |          3 |         86 |         18 |         27 |        131 |
| linux/flutter                                                                                                           |          2 |          8 |          9 |         11 |         28 |
| macos                                                                                                                   |          6 |        450 |          5 |         16 |        471 |
| macos/Flutter                                                                                                           |          1 |         12 |          3 |          4 |         19 |
| macos/Runner                                                                                                            |          4 |        431 |          0 |          8 |        439 |
| macos/Runner (Files)                                                                                                    |          2 |         20 |          0 |          6 |         26 |
| macos/Runner/Assets.xcassets                                                                                            |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                         |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                                 |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                                       |          1 |          7 |          2 |          4 |         13 |
| web                                                                                                                     |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                                 |         10 |        436 |         94 |        143 |        673 |
| windows/flutter                                                                                                         |          2 |          8 |          9 |         11 |         28 |
| windows/runner                                                                                                          |          8 |        428 |         85 |        132 |        645 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/kilian/gymprime-project/gymprime/README.md                                                                        | Markdown   |         10 |          0 |          7 |         17 |
| /home/kilian/gymprime-project/gymprime/analysis_options.yaml                                                            | YAML       |          3 |         22 |          4 |         29 |
| /home/kilian/gymprime-project/gymprime/android/app/build.gradle                                                         | Groovy     |         64 |          3 |         12 |         79 |
| /home/kilian/gymprime-project/gymprime/android/app/src/debug/AndroidManifest.xml                                        | XML        |          3 |          4 |          1 |          8 |
| /home/kilian/gymprime-project/gymprime/android/app/src/main/AndroidManifest.xml                                         | XML        |         27 |          6 |          1 |         34 |
| /home/kilian/gymprime-project/gymprime/android/app/src/main/res/drawable-v21/launch_background.xml                      | XML        |          4 |          7 |          2 |         13 |
| /home/kilian/gymprime-project/gymprime/android/app/src/main/res/drawable/launch_background.xml                          | XML        |          4 |          7 |          2 |         13 |
| /home/kilian/gymprime-project/gymprime/android/app/src/main/res/values-night/styles.xml                                 | XML        |          9 |          9 |          1 |         19 |
| /home/kilian/gymprime-project/gymprime/android/app/src/main/res/values/styles.xml                                       | XML        |          9 |          9 |          1 |         19 |
| /home/kilian/gymprime-project/gymprime/android/app/src/profile/AndroidManifest.xml                                      | XML        |          3 |          4 |          1 |          8 |
| /home/kilian/gymprime-project/gymprime/android/build.gradle                                                             | Groovy     |         26 |          0 |          5 |         31 |
| /home/kilian/gymprime-project/gymprime/android/gradle.properties                                                        | Properties |          3 |          0 |          1 |          4 |
| /home/kilian/gymprime-project/gymprime/android/gradle/wrapper/gradle-wrapper.properties                                 | Properties |          5 |          0 |          1 |          6 |
| /home/kilian/gymprime-project/gymprime/android/settings.gradle                                                          | Groovy     |         24 |          0 |          6 |         30 |
| /home/kilian/gymprime-project/gymprime/ios/Runner/AppDelegate.swift                                                     | Swift      |         12 |          0 |          2 |         14 |
| /home/kilian/gymprime-project/gymprime/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                      | JSON       |        122 |          0 |          1 |        123 |
| /home/kilian/gymprime-project/gymprime/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                    | JSON       |         23 |          0 |          1 |         24 |
| /home/kilian/gymprime-project/gymprime/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                        | Markdown   |          3 |          0 |          2 |          5 |
| /home/kilian/gymprime-project/gymprime/ios/Runner/Base.lproj/LaunchScreen.storyboard                                    | XML        |         36 |          1 |          1 |         38 |
| /home/kilian/gymprime-project/gymprime/ios/Runner/Base.lproj/Main.storyboard                                            | XML        |         25 |          1 |          1 |         27 |
| /home/kilian/gymprime-project/gymprime/ios/Runner/Runner-Bridging-Header.h                                              | C++        |          1 |          0 |          1 |          2 |
| /home/kilian/gymprime-project/gymprime/ios/RunnerTests/RunnerTests.swift                                                | Swift      |          7 |          2 |          4 |         13 |
| /home/kilian/gymprime-project/gymprime/lib/core/constants/constants.dart                                                | Dart       |          2 |          1 |          1 |          4 |
| /home/kilian/gymprime-project/gymprime/lib/core/errors/exceptions.dart                                                  | Dart       |          8 |          0 |          4 |         12 |
| /home/kilian/gymprime-project/gymprime/lib/core/extensions/objectid_extension.dart                                      | Dart       |          6 |          0 |          2 |          8 |
| /home/kilian/gymprime-project/gymprime/lib/core/platform/network_info.dart                                              | Dart       |          3 |          0 |          1 |          4 |
| /home/kilian/gymprime-project/gymprime/lib/core/resources/data_state.dart                                               | Dart       |         14 |          1 |          4 |         19 |
| /home/kilian/gymprime-project/gymprime/lib/core/resources/headers.dart                                                  | Dart       |         25 |          0 |          8 |         33 |
| /home/kilian/gymprime-project/gymprime/lib/core/resources/language.dart                                                 | Dart       |          9 |          0 |          2 |         11 |
| /home/kilian/gymprime-project/gymprime/lib/core/resources/nutriment.dart                                                | Dart       |          8 |          0 |          2 |         10 |
| /home/kilian/gymprime-project/gymprime/lib/core/resources/request_type.dart                                             | Dart       |         11 |          0 |          2 |         13 |
| /home/kilian/gymprime-project/gymprime/lib/core/resources/unit.dart                                                     | Dart       |         10 |          0 |          2 |         12 |
| /home/kilian/gymprime-project/gymprime/lib/core/usecases/usecase.dart                                                   | Dart       |          4 |          0 |          2 |          6 |
| /home/kilian/gymprime-project/gymprime/lib/features/app_starting/domain/repository/all_data_repo.dart                   | Dart       |          5 |          0 |          2 |          7 |
| /home/kilian/gymprime-project/gymprime/lib/features/app_starting/domain/usecases/all_data_usecase.dart                  | Dart       |          7 |          0 |          3 |         10 |
| /home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/aliment_local_datasource.dart         | Dart       |         42 |          0 |         11 |         53 |
| /home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/cached_request_local_datasource.dart  | Dart       |         32 |          0 |          9 |         41 |
| /home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/aliment_local_db.dart        | Dart       |         86 |          0 |         15 |        101 |
| /home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/cached_request_local_db.dart | Dart       |         80 |          0 |         15 |         95 |
| /home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/diet_local_db.dart           | Dart       |         76 |          0 |         15 |         91 |
| /home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/exercise_local_db.dart       | Dart       |         79 |          0 |         15 |         94 |
| /home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/local_database.dart          | Dart       |         83 |          0 |         10 |         93 |
| /home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/meal_local_db.dart           | Dart       |         77 |          0 |         15 |         92 |
